homeid,createdate,accessmethod,age,numfamily
5080,2016-06-25 16:40,NUM,76.0,1.0
5080,2016-06-25 8:00,INDOOR,76.0,1.0
5080,2016-06-24 11:50,NUM,76.0,1.0
5080,2016-06-24 9:00,INDOOR,76.0,1.0
8204,2016-06-22 20:30,NUM,29.0,3.0
8204,2016-06-22 7:00,INDOOR,29.0,3.0
8204,2016-06-21 20:20,NUM,29.0,3.0
8204,2016-06-21 8:00,INDOOR,29.0,3.0
8204,2016-06-22 20:00,NUM,62.0,3.0
8204,2016-06-22 18:50,INDOOR,62.0,3.0
8204,2016-06-22 18:40,NUM,62.0,3.0
8204,2016-06-22 12:40,INDOOR,62.0,3.0
8204,2016-06-22 12:20,NUM,62.0,3.0
8204,2016-06-22 8:00,INDOOR,62.0,3.0
8204,2016-06-21 18:40,NUM,62.0,3.0
8204,2016-06-21 12:30,INDOOR,62.0,3.0
8204,2016-06-21 12:20,NUM,62.0,3.0
8204,2016-06-21 8:00,INDOOR,62.0,3.0
8204,2016-06-22 22:20,INDOOR,30.0,3.0
8204,2016-06-22 20:20,NUM,30.0,3.0
8204,2016-06-22 8:00,INDOOR,30.0,3.0
8204,2016-06-21 21:40,INDOOR,30.0,3.0
8204,2016-06-21 20:20,NUM,30.0,3.0
8204,2016-06-21 8:00,INDOOR,30.0,3.0
4432,2016-06-26 17:40,NUM,49.0,2.0
4432,2016-06-26 8:20,INDOOR,49.0,2.0
4432,2016-06-25 20:40,NUM,49.0,2.0
4432,2016-06-25 8:20,INDOOR,49.0,2.0
4432,2016-06-26 20:00,NUM,39.0,2.0
4432,2016-06-26 9:00,INDOOR,39.0,2.0
4432,2016-06-25 18:00,NUM,39.0,2.0
4432,2016-06-25 8:20,INDOOR,39.0,2.0
4432,2016-06-26 18:10,NUM,71.0,2.0
4432,2016-06-26 16:00,INDOOR,71.0,2.0
4432,2016-06-26 7:00,NUM,71.0,2.0
4432,2016-06-26 5:50,INDOOR,71.0,2.0
4432,2016-06-25 17:20,NUM,71.0,2.0
4432,2016-06-25 14:40,INDOOR,71.0,2.0
4432,2016-06-25 12:20,NUM,71.0,2.0
4432,2016-06-25 10:20,INDOOR,71.0,2.0
4432,2016-06-25 7:00,NUM,71.0,2.0
4432,2016-06-25 5:50,INDOOR,71.0,2.0
8459,2016-06-21 15:00,NUM,66.0,2.0
8459,2016-06-21 14:00,INDOOR,66.0,2.0
8459,2016-06-22 20:30,INDOOR,24.0,2.0
8459,2016-06-22 19:40,NUM,24.0,2.0
8459,2016-06-22 10:30,INDOOR,24.0,2.0
8459,2016-06-21 22:20,NUM,24.0,2.0
8459,2016-06-21 10:30,INDOOR,24.0,2.0
7450,2016-06-26 15:30,NUM,40.0,2.0
7450,2016-06-26 12:00,INDOOR,40.0,2.0
7450,2016-06-25 21:10,NUM,40.0,2.0
7450,2016-06-25 18:50,INDOOR,40.0,2.0
7450,2016-06-25 13:40,NUM,40.0,2.0
7450,2016-06-25 10:00,INDOOR,40.0,2.0
7450,2016-06-26 15:30,NUM,44.0,2.0
7450,2016-06-26 12:00,INDOOR,44.0,2.0
7450,2016-06-25 21:10,NUM,44.0,2.0
7450,2016-06-25 18:50,INDOOR,44.0,2.0
7450,2016-06-25 13:40,NUM,44.0,2.0
7450,2016-06-25 10:00,INDOOR,44.0,2.0
9001,2016-06-25 17:30,NUM,48.0,2.0
9001,2016-06-25 14:20,INDOOR,48.0,2.0
9001,2016-06-24 16:50,NUM,48.0,2.0
9001,2016-06-24 7:50,INDOOR,48.0,2.0
9001,2016-06-25 17:30,NUM,79.0,2.0
9001,2016-06-25 14:20,INDOOR,79.0,2.0
9001,2016-06-24 15:40,NUM,79.0,2.0
9001,2016-06-24 14:20,INDOOR,79.0,2.0
2792,2016-06-26 16:30,NUM,81.0,1.0
2792,2016-06-26 15:30,INDOOR,81.0,1.0
2792,2016-06-26 14:50,NUM,81.0,1.0
2792,2016-06-26 11:20,INDOOR,81.0,1.0
2792,2016-06-20 16:30,NUM,81.0,1.0
2792,2016-06-20 15:40,INDOOR,81.0,1.0
2792,2016-06-20 15:00,NUM,81.0,1.0
2792,2016-06-20 13:20,INDOOR,81.0,1.0
4032,2016-06-25 18:20,NUM,68.0,2.0
4032,2016-06-25 14:50,INDOOR,68.0,2.0
4032,2016-06-24 17:40,NUM,68.0,2.0
4032,2016-06-24 12:00,INDOOR,68.0,2.0
4032,2016-06-25 23:00,NUM,68.0,2.0
4032,2016-06-25 15:00,INDOOR,68.0,2.0
4032,2016-06-24 19:00,NUM,68.0,2.0
4032,2016-06-24 18:20,INDOOR,68.0,2.0
3816,2016-06-26 20:50,NUM,17.0,2.0
3816,2016-06-26 9:00,INDOOR,17.0,2.0
3816,2016-06-25 23:00,NUM,17.0,2.0
3816,2016-06-25 20:00,INDOOR,17.0,2.0
3816,2016-06-25 14:30,NUM,17.0,2.0
3816,2016-06-25 9:00,INDOOR,17.0,2.0
3816,2016-06-26 18:40,NUM,75.0,2.0
3816,2016-06-26 17:10,INDOOR,75.0,2.0
3816,2016-06-26 16:20,NUM,75.0,2.0
3816,2016-06-26 11:00,INDOOR,75.0,2.0
3816,2016-06-25 18:00,NUM,75.0,2.0
3816,2016-06-25 16:20,INDOOR,75.0,2.0
3816,2016-06-25 13:00,NUM,75.0,2.0
3816,2016-06-25 11:30,INDOOR,75.0,2.0
3816,2016-06-25 9:50,NUM,75.0,2.0
3816,2016-06-25 5:30,INDOOR,75.0,2.0
892,2016-06-24 19:10,NUM,19.0,4.0
892,2016-06-24 10:30,INDOOR,19.0,4.0
892,2016-06-23 20:00,NUM,19.0,4.0
892,2016-06-23 19:00,INDOOR,19.0,4.0
892,2016-06-23 17:00,NUM,19.0,4.0
892,2016-06-23 10:20,INDOOR,19.0,4.0
892,2016-06-24 21:10,NUM,23.0,4.0
892,2016-06-24 19:00,INDOOR,23.0,4.0
892,2016-06-24 18:10,NUM,23.0,4.0
892,2016-06-24 17:00,INDOOR,23.0,4.0
892,2016-06-24 16:00,NUM,23.0,4.0
892,2016-06-24 6:40,INDOOR,23.0,4.0
892,2016-06-23 18:00,NUM,23.0,4.0
892,2016-06-23 17:00,INDOOR,23.0,4.0
892,2016-06-23 16:00,NUM,23.0,4.0
892,2016-06-23 6:30,INDOOR,23.0,4.0
892,2016-06-24 19:30,NUM,48.0,4.0
892,2016-06-24 8:10,INDOOR,48.0,4.0
892,2016-06-23 19:10,NUM,48.0,4.0
892,2016-06-23 7:50,INDOOR,48.0,4.0
892,2016-06-24 22:30,NUM,52.0,4.0
892,2016-06-24 11:00,INDOOR,52.0,4.0
892,2016-06-24 9:30,NUM,52.0,4.0
892,2016-06-24 9:10,INDOOR,52.0,4.0
892,2016-06-24 8:50,NUM,52.0,4.0
892,2016-06-24 8:20,INDOOR,52.0,4.0
892,2016-06-23 22:20,NUM,52.0,4.0
892,2016-06-23 5:00,INDOOR,52.0,4.0
892,2016-06-23 0:40,NUM,52.0,4.0
7762,2016-06-25 18:50,NUM,44.0,2.0
7762,2016-06-25 17:50,INDOOR,44.0,2.0
7762,2016-06-25 16:30,NUM,44.0,2.0
7762,2016-06-25 15:00,INDOOR,44.0,2.0
7762,2016-06-25 12:30,NUM,44.0,2.0
7762,2016-06-25 9:00,INDOOR,44.0,2.0
7762,2016-06-25 7:50,NUM,44.0,2.0
7762,2016-06-25 6:30,INDOOR,44.0,2.0
7762,2016-06-24 12:00,NUM,44.0,2.0
7762,2016-06-24 10:20,INDOOR,44.0,2.0
7762,2016-06-25 19:00,NUM,79.0,2.0
7762,2016-06-25 10:00,INDOOR,79.0,2.0
7762,2016-06-25 7:20,NUM,79.0,2.0
7762,2016-06-25 6:10,INDOOR,79.0,2.0
7762,2016-06-24 19:10,NUM,79.0,2.0
7762,2016-06-24 14:10,INDOOR,79.0,2.0
7762,2016-06-24 13:30,NUM,79.0,2.0
7762,2016-06-24 8:40,INDOOR,79.0,2.0
7762,2016-06-24 7:30,NUM,79.0,2.0
7762,2016-06-24 6:10,INDOOR,79.0,2.0
9639,2016-06-26 15:10,NUM,68.0,2.0
9639,2016-06-26 12:20,INDOOR,68.0,2.0
9639,2016-06-20 19:10,NUM,68.0,2.0
9639,2016-06-20 16:00,INDOOR,68.0,2.0
9639,2016-06-20 14:30,NUM,68.0,2.0
9639,2016-06-20 13:40,INDOOR,68.0,2.0
9639,2016-06-26 15:10,NUM,63.0,2.0
9639,2016-06-26 12:20,INDOOR,63.0,2.0
9639,2016-06-20 19:10,NUM,63.0,2.0
9639,2016-06-20 16:00,INDOOR,63.0,2.0
7295,2016-06-24 17:50,NUM,66.0,1.0
7295,2016-06-24 17:00,INDOOR,66.0,1.0
7295,2016-06-24 16:00,NUM,66.0,1.0
7295,2016-06-24 14:00,INDOOR,66.0,1.0
7295,2016-06-23 17:20,NUM,66.0,1.0
7295,2016-06-23 17:00,INDOOR,66.0,1.0
3918,2016-06-26 21:00,NUM,46.0,2.0
3918,2016-06-26 17:20,INDOOR,46.0,2.0
3918,2016-06-26 14:20,NUM,46.0,2.0
3918,2016-06-26 9:20,INDOOR,46.0,2.0
3918,2016-06-25 20:00,NUM,46.0,2.0
3918,2016-06-25 16:40,INDOOR,46.0,2.0
3918,2016-06-26 21:00,NUM,70.0,2.0
3918,2016-06-26 18:30,INDOOR,70.0,2.0
3918,2016-06-26 16:50,NUM,70.0,2.0
3918,2016-06-26 10:10,INDOOR,70.0,2.0
3918,2016-06-26 6:30,NUM,70.0,2.0
3918,2016-06-26 4:20,INDOOR,70.0,2.0
3918,2016-06-25 20:00,NUM,70.0,2.0
3918,2016-06-25 14:00,INDOOR,70.0,2.0
3918,2016-06-25 12:40,NUM,70.0,2.0
3918,2016-06-25 11:10,INDOOR,70.0,2.0
3918,2016-06-25 10:40,NUM,70.0,2.0
3918,2016-06-25 8:50,INDOOR,70.0,2.0
3918,2016-06-25 7:00,NUM,70.0,2.0
3918,2016-06-25 4:30,INDOOR,70.0,2.0
616,2016-06-25 18:50,NUM,44.0,3.0
616,2016-06-25 8:00,INDOOR,44.0,3.0
616,2016-06-24 19:00,NUM,44.0,3.0
616,2016-06-24 8:00,INDOOR,44.0,3.0
616,2016-06-25 16:10,NUM,74.0,3.0
616,2016-06-25 13:00,INDOOR,74.0,3.0
616,2016-06-25 12:10,NUM,74.0,3.0
616,2016-06-25 10:00,INDOOR,74.0,3.0
616,2016-06-24 16:00,NUM,74.0,3.0
616,2016-06-24 13:20,INDOOR,74.0,3.0
616,2016-06-24 11:50,NUM,74.0,3.0
616,2016-06-24 10:00,INDOOR,74.0,3.0
616,2016-06-25 16:30,NUM,73.0,3.0
616,2016-06-25 16:10,INDOOR,73.0,3.0
616,2016-06-25 15:10,NUM,73.0,3.0
616,2016-06-25 13:00,INDOOR,73.0,3.0
616,2016-06-25 12:10,NUM,73.0,3.0
616,2016-06-25 9:10,INDOOR,73.0,3.0
616,2016-06-25 8:10,NUM,73.0,3.0
616,2016-06-25 8:00,INDOOR,73.0,3.0
616,2016-06-24 17:40,NUM,73.0,3.0
616,2016-06-24 17:00,INDOOR,73.0,3.0
616,2016-06-24 15:10,NUM,73.0,3.0
616,2016-06-24 12:50,INDOOR,73.0,3.0
616,2016-06-24 12:10,NUM,73.0,3.0
616,2016-06-24 11:30,INDOOR,73.0,3.0
4627,2016-06-24 16:00,NUM,21.0,2.0
4627,2016-06-24 15:20,INDOOR,21.0,2.0
4627,2016-06-23 22:20,NUM,21.0,2.0
4627,2016-06-23 18:30,INDOOR,21.0,2.0
4627,2016-06-23 15:30,NUM,21.0,2.0
4627,2016-06-23 15:20,INDOOR,21.0,2.0
4627,2016-06-24 20:00,NUM,46.0,2.0
4627,2016-06-24 8:00,INDOOR,46.0,2.0
4627,2016-06-23 19:10,NUM,46.0,2.0
4627,2016-06-23 8:00,INDOOR,46.0,2.0
11078,2016-06-26 15:40,NUM,70.0,2.0
11078,2016-06-26 10:00,INDOOR,70.0,2.0
11078,2016-06-26 6:30,NUM,70.0,2.0
11078,2016-06-26 5:20,INDOOR,70.0,2.0
11078,2016-06-25 16:10,NUM,70.0,2.0
11078,2016-06-25 12:50,INDOOR,70.0,2.0
11078,2016-06-25 8:00,NUM,70.0,2.0
11078,2016-06-25 6:10,INDOOR,70.0,2.0
11078,2016-06-26 15:20,NUM,37.0,2.0
11078,2016-06-26 12:00,INDOOR,37.0,2.0
11078,2016-06-25 18:00,NUM,37.0,2.0
11078,2016-06-25 11:40,INDOOR,37.0,2.0
11078,2016-06-26 15:20,NUM,43.0,2.0
11078,2016-06-26 12:00,INDOOR,43.0,2.0
11078,2016-06-25 18:00,NUM,43.0,2.0
11078,2016-06-25 11:40,INDOOR,43.0,2.0
2298,2016-06-24 21:00,NUM,63.0,2.0
2298,2016-06-24 19:50,INDOOR,63.0,2.0
2298,2016-06-24 17:40,NUM,63.0,2.0
2298,2016-06-24 16:00,INDOOR,63.0,2.0
2298,2016-06-24 6:30,NUM,63.0,2.0
2298,2016-06-24 6:00,INDOOR,63.0,2.0
2298,2016-06-23 19:00,NUM,63.0,2.0
2298,2016-06-23 16:00,INDOOR,63.0,2.0
2298,2016-06-24 21:00,NUM,68.0,2.0
2298,2016-06-24 19:50,INDOOR,68.0,2.0
2298,2016-06-24 18:10,NUM,68.0,2.0
2298,2016-06-24 17:00,INDOOR,68.0,2.0
2298,2016-06-24 14:20,NUM,68.0,2.0
2298,2016-06-24 13:20,INDOOR,68.0,2.0
2298,2016-06-24 10:50,NUM,68.0,2.0
2298,2016-06-24 9:00,INDOOR,68.0,2.0
2298,2016-06-24 6:40,NUM,68.0,2.0
2298,2016-06-24 5:40,INDOOR,68.0,2.0
2298,2016-06-23 19:00,NUM,68.0,2.0
2298,2016-06-23 16:00,INDOOR,68.0,2.0
2298,2016-06-23 10:30,NUM,68.0,2.0
2298,2016-06-23 9:00,INDOOR,68.0,2.0
2298,2016-06-23 6:40,NUM,68.0,2.0
2298,2016-06-23 5:40,INDOOR,68.0,2.0
7671,2016-06-20 16:20,NUM,67.0,2.0
7671,2016-06-20 15:00,INDOOR,67.0,2.0
7671,2016-06-20 11:40,NUM,67.0,2.0
7671,2016-06-20 10:00,INDOOR,67.0,2.0
7671,2016-06-26 18:30,NUM,71.0,2.0
7671,2016-06-26 16:30,INDOOR,71.0,2.0
7671,2016-06-26 15:10,NUM,71.0,2.0
7671,2016-06-26 13:20,INDOOR,71.0,2.0
7671,2016-06-26 11:00,NUM,71.0,2.0
7671,2016-06-26 9:20,INDOOR,71.0,2.0
7671,2016-06-26 8:20,NUM,71.0,2.0
7671,2016-06-26 7:10,INDOOR,71.0,2.0
7671,2016-06-26 6:40,NUM,71.0,2.0
7671,2016-06-26 5:50,INDOOR,71.0,2.0
7671,2016-06-20 18:30,NUM,71.0,2.0
7671,2016-06-20 13:20,INDOOR,71.0,2.0
7671,2016-06-20 11:00,NUM,71.0,2.0
7671,2016-06-20 9:20,INDOOR,71.0,2.0
7671,2016-06-20 6:40,NUM,71.0,2.0
7671,2016-06-20 5:30,INDOOR,71.0,2.0
2960,2016-06-26 14:50,NUM,92.0,2.0
2960,2016-06-26 11:20,INDOOR,92.0,2.0
2960,2016-06-25 16:50,NUM,92.0,2.0
2960,2016-06-25 11:00,INDOOR,92.0,2.0
7252,2016-06-26 21:00,NUM,27.0,2.0
7252,2016-06-26 16:10,INDOOR,27.0,2.0
7252,2016-06-25 22:00,NUM,27.0,2.0
7252,2016-06-25 17:50,INDOOR,27.0,2.0
7252,2016-06-25 12:40,NUM,27.0,2.0
7252,2016-06-25 9:50,INDOOR,27.0,2.0
691,2016-06-24 12:50,NUM,57.0,2.0
691,2016-06-24 10:10,INDOOR,57.0,2.0
691,2016-06-23 21:00,NUM,57.0,2.0
691,2016-06-23 20:00,INDOOR,57.0,2.0
691,2016-06-23 17:40,NUM,57.0,2.0
691,2016-06-23 16:00,INDOOR,57.0,2.0
691,2016-06-24 21:00,NUM,61.0,2.0
691,2016-06-24 20:00,INDOOR,61.0,2.0
691,2016-06-24 7:50,NUM,61.0,2.0
691,2016-06-24 6:00,INDOOR,61.0,2.0
691,2016-06-23 21:00,NUM,61.0,2.0
691,2016-06-23 20:00,INDOOR,61.0,2.0
691,2016-06-23 7:00,NUM,61.0,2.0
691,2016-06-23 6:00,INDOOR,61.0,2.0
8962,2016-06-25 8:00,INDOOR,24.0,2.0
8962,2016-06-25 7:10,NUM,24.0,2.0
8962,2016-06-24 20:40,INDOOR,24.0,2.0
8962,2016-06-24 20:10,NUM,24.0,2.0
8962,2016-06-24 6:40,INDOOR,24.0,2.0
8962,2016-06-25 22:30,NUM,31.0,2.0
8962,2016-06-25 8:30,INDOOR,31.0,2.0
8962,2016-06-24 23:10,NUM,31.0,2.0
8962,2016-06-24 20:40,INDOOR,31.0,2.0
8962,2016-06-24 19:00,NUM,31.0,2.0
8962,2016-06-24 8:30,INDOOR,31.0,2.0
7620,2016-06-24 18:50,NUM,38.0,2.0
7620,2016-06-24 8:00,INDOOR,38.0,2.0
7620,2016-06-23 23:30,NUM,38.0,2.0
7620,2016-06-23 8:00,INDOOR,38.0,2.0
7620,2016-06-23 7:20,NUM,38.0,2.0
7620,2016-06-23 5:20,INDOOR,38.0,2.0
7620,2016-06-24 19:00,NUM,35.0,2.0
7620,2016-06-24 7:40,INDOOR,35.0,2.0
7620,2016-06-23 18:50,NUM,35.0,2.0
7620,2016-06-23 7:40,INDOOR,35.0,2.0
6185,2016-06-22 20:00,NUM,31.0,3.0
6185,2016-06-22 8:00,INDOOR,31.0,3.0
6185,2016-06-21 23:00,NUM,31.0,3.0
6185,2016-06-21 8:00,INDOOR,31.0,3.0
6185,2016-06-22 20:10,NUM,57.0,3.0
6185,2016-06-22 7:30,INDOOR,57.0,3.0
6185,2016-06-21 20:10,NUM,57.0,3.0
6185,2016-06-21 7:20,INDOOR,57.0,3.0
6185,2016-06-22 19:00,NUM,60.0,3.0
6185,2016-06-22 6:40,INDOOR,60.0,3.0
6185,2016-06-21 19:10,NUM,60.0,3.0
6185,2016-06-21 6:40,INDOOR,60.0,3.0
7326,2016-06-26 19:50,NUM,35.0,2.0
7326,2016-06-26 15:00,INDOOR,35.0,2.0
7326,2016-06-26 9:00,NUM,35.0,2.0
7326,2016-06-26 8:00,INDOOR,35.0,2.0
7326,2016-06-25 22:30,NUM,35.0,2.0
7326,2016-06-25 13:00,INDOOR,35.0,2.0
7326,2016-06-26 19:50,NUM,40.0,2.0
7326,2016-06-26 15:00,INDOOR,40.0,2.0
7326,2016-06-26 9:00,NUM,40.0,2.0
7326,2016-06-26 8:00,INDOOR,40.0,2.0
7326,2016-06-25 22:30,NUM,40.0,2.0
7326,2016-06-25 13:00,INDOOR,40.0,2.0
7326,2016-06-25 9:50,NUM,40.0,2.0
7326,2016-06-25 7:40,INDOOR,40.0,2.0
11026,2016-06-24 22:20,NUM,29.0,3.0
11026,2016-06-24 9:00,INDOOR,29.0,3.0
11026,2016-06-23 22:40,NUM,29.0,3.0
11026,2016-06-23 9:00,INDOOR,29.0,3.0
11026,2016-06-24 9:00,INDOOR,55.0,3.0
11026,2016-06-23 22:40,NUM,55.0,3.0
11026,2016-06-23 9:00,INDOOR,55.0,3.0
11026,2016-06-24 18:50,NUM,55.0,3.0
11026,2016-06-24 7:30,INDOOR,55.0,3.0
11026,2016-06-23 20:40,NUM,55.0,3.0
11026,2016-06-23 7:20,INDOOR,55.0,3.0
10262,2016-06-24 17:20,NUM,26.0,3.0
10262,2016-06-24 12:00,INDOOR,26.0,3.0
10262,2016-06-23 23:30,NUM,26.0,3.0
10262,2016-06-23 19:00,INDOOR,26.0,3.0
10262,2016-06-23 13:20,NUM,26.0,3.0
10262,2016-06-23 10:30,INDOOR,26.0,3.0
10262,2016-06-24 15:50,NUM,53.0,3.0
10262,2016-06-24 9:50,INDOOR,53.0,3.0
10262,2016-06-23 21:30,NUM,53.0,3.0
10262,2016-06-23 18:40,INDOOR,53.0,3.0
10262,2016-06-23 17:30,NUM,53.0,3.0
10262,2016-06-23 15:30,INDOOR,53.0,3.0
10262,2016-06-24 18:40,NUM,55.0,3.0
10262,2016-06-24 8:20,INDOOR,55.0,3.0
10262,2016-06-23 21:30,NUM,55.0,3.0
10262,2016-06-23 18:40,INDOOR,55.0,3.0
10262,2016-06-23 18:30,NUM,55.0,3.0
10262,2016-06-23 8:20,INDOOR,55.0,3.0
4332,2016-06-26 8:40,NUM,66.0,1.0
4332,2016-06-26 5:30,INDOOR,66.0,1.0
4332,2016-06-20 18:00,NUM,66.0,1.0
4332,2016-06-20 17:20,INDOOR,66.0,1.0
4332,2016-06-20 13:30,NUM,66.0,1.0
4332,2016-06-20 10:00,INDOOR,66.0,1.0
4332,2016-06-20 7:40,NUM,66.0,1.0
4332,2016-06-20 5:20,INDOOR,66.0,1.0
9704,2016-06-26 18:30,NUM,65.0,2.0
9704,2016-06-26 12:40,INDOOR,65.0,2.0
9704,2016-06-20 18:00,NUM,65.0,2.0
9704,2016-06-20 13:20,INDOOR,65.0,2.0
9704,2016-06-26 18:20,NUM,77.0,2.0
9704,2016-06-26 12:30,INDOOR,77.0,2.0
9704,2016-06-20 18:00,NUM,77.0,2.0
9704,2016-06-20 10:20,INDOOR,77.0,2.0
6518,2016-06-26 14:30,NUM,11.0,3.0
6518,2016-06-26 12:50,INDOOR,11.0,3.0
6518,2016-06-20 17:00,NUM,11.0,3.0
6518,2016-06-20 8:20,INDOOR,11.0,3.0
6518,2016-06-26 23:40,NUM,46.0,3.0
6518,2016-06-26 20:50,INDOOR,46.0,3.0
6518,2016-06-26 20:00,NUM,46.0,3.0
6518,2016-06-26 8:10,INDOOR,46.0,3.0
6518,2016-06-20 23:10,NUM,46.0,3.0
6518,2016-06-20 20:40,INDOOR,46.0,3.0
6518,2016-06-20 20:00,NUM,46.0,3.0
6518,2016-06-20 7:40,INDOOR,46.0,3.0
6518,2016-06-26 18:10,NUM,43.0,3.0
6518,2016-06-26 7:50,INDOOR,43.0,3.0
6518,2016-06-20 18:30,NUM,43.0,3.0
6518,2016-06-20 8:00,INDOOR,43.0,3.0
6849,2016-06-20 19:10,NUM,67.0,1.0
6849,2016-06-20 5:50,INDOOR,67.0,1.0
726,2016-06-26 18:00,NUM,38.0,2.0
726,2016-06-26 13:20,INDOOR,38.0,2.0
726,2016-06-20 20:00,NUM,38.0,2.0
726,2016-06-20 19:00,INDOOR,38.0,2.0
726,2016-06-20 16:40,NUM,38.0,2.0
726,2016-06-20 16:10,INDOOR,38.0,2.0
726,2016-06-20 9:00,NUM,38.0,2.0
726,2016-06-20 8:20,INDOOR,38.0,2.0
726,2016-06-26 18:00,NUM,36.0,2.0
726,2016-06-26 13:20,INDOOR,36.0,2.0
726,2016-06-20 22:00,NUM,36.0,2.0
726,2016-06-20 5:40,INDOOR,36.0,2.0
8966,2016-06-25 21:20,NUM,17.0,3.0
8966,2016-06-25 10:00,INDOOR,17.0,3.0
8966,2016-06-24 19:40,NUM,17.0,3.0
8966,2016-06-24 19:00,INDOOR,17.0,3.0
8966,2016-06-24 13:40,NUM,17.0,3.0
8966,2016-06-24 9:30,INDOOR,17.0,3.0
8966,2016-06-25 22:40,NUM,48.0,3.0
8966,2016-06-25 18:20,INDOOR,48.0,3.0
