class	value
N(-1.5,0.1)	-1.49986381416224
N(-1.5,0.1)	-1.72851234429741
N(-1.5,0.1)	-1.56795347571441
N(-1.5,0.1)	-1.32941514144379
N(-1.5,0.1)	-1.45668623816957
N(-1.5,0.1)	-1.56980263092552
N(-1.5,0.1)	-1.27705999028278
N(-1.5,0.1)	-1.579142301703
N(-1.5,0.1)	-1.50220160516161
N(-1.5,0.1)	-1.48877955751783
N(-1.5,0.1)	-1.4069109794897
N(-1.5,0.1)	-1.38734815083151
N(-1.5,0.1)	-1.64187047342371
N(-1.5,0.1)	-1.67096302996596
N(-1.5,0.1)	-1.42145221237921
N(-1.5,0.1)	-1.41267733180507
N(-1.5,0.1)	-1.39842258259209
N(-1.5,0.1)	-1.36610907560312
N(-1.5,0.1)	-1.47102395386384
N(-1.5,0.1)	-1.51721712390252
N(-1.5,0.1)	-1.64928070509025
N(-1.5,0.1)	-1.44833602740205
N(-1.5,0.1)	-1.44010843274763
N(-1.5,0.1)	-1.3449746560343
N(-1.5,0.1)	-1.49697973326823
N(-1.5,0.1)	-1.63147088947667
N(-1.5,0.1)	-1.30531336356851
N(-1.5,0.1)	-1.49903621848131
N(-1.5,0.1)	-1.54914958194121
N(-1.5,0.1)	-1.46190385255131
N(-1.5,0.1)	-1.52630155180621
N(-1.5,0.1)	-1.50295431007505
N(-1.5,0.1)	-1.4831762403519
N(-1.5,0.1)	-1.65668864506682
N(-1.5,0.1)	-1.49837524775108
N(-1.5,0.1)	-1.60764723544199
N(-1.5,0.1)	-1.44479809436523
N(-1.5,0.1)	-1.60694344684012
N(-1.5,0.1)	-1.62113248086493
N(-1.5,0.1)	-1.36543104929676
N(-1.5,0.1)	-1.49128601387624
N(-1.5,0.1)	-1.40647870197184
N(-1.5,0.1)	-1.6303305115525
N(-1.5,0.1)	-1.58470350988558
N(-1.5,0.1)	-1.51401394081445
N(-1.5,0.1)	-1.64464568192372
N(-1.5,0.1)	-1.40471373426664
N(-1.5,0.1)	-1.51822111425478
N(-1.5,0.1)	-1.54592494296305
N(-1.5,0.1)	-1.25561480578936
N(-1.5,0.1)	-1.39615592694683
N(-1.5,0.1)	-1.39986252073358
N(-1.5,0.1)	-1.4333360427088
N(-1.5,0.1)	-1.57236421118885
N(-1.5,0.1)	-1.40684158040707
N(-1.5,0.1)	-1.50562205218116
N(-1.5,0.1)	-1.42975694303303
N(-1.5,0.1)	-1.66446422783629
N(-1.5,0.1)	-1.50687968334644
N(-1.5,0.1)	-1.58427162122541
N(-1.5,0.1)	-1.49967246288095
N(-1.5,0.1)	-1.58203445216992
N(-1.5,0.1)	-1.58976345785778
N(-1.5,0.1)	-1.52360064838058
N(-1.5,0.1)	-1.44046080109781
N(-1.5,0.1)	-1.44239442760792
N(-1.5,0.1)	-1.45982377409531
N(-1.5,0.1)	-1.70986123598118
N(-1.5,0.1)	-1.50438657958258
N(-1.5,0.1)	-1.52356358576119
N(-1.5,0.1)	-1.52914513539423
N(-1.5,0.1)	-1.46589161222233
N(-1.5,0.1)	-1.53077414966216
N(-1.5,0.1)	-1.57343994849935
N(-1.5,0.1)	-1.49380755801685
N(-1.5,0.1)	-1.49580275087462
N(-1.5,0.1)	-1.40423144328459
N(-1.5,0.1)	-1.41417679178988
N(-1.5,0.1)	-1.37767448592905
N(-1.5,0.1)	-1.55126403074876
N(-1.5,0.1)	-1.47412647235638
N(-1.5,0.1)	-1.369264577447
N(-1.5,0.1)	-1.45337479411125
N(-1.5,0.1)	-1.40672172064736
N(-1.5,0.1)	-1.56323353265542
N(-1.5,0.1)	-1.28236880768114
N(-1.5,0.1)	-1.43959062068179
N(-1.5,0.1)	-1.44134347166097
N(-1.5,0.1)	-1.41742457566073
N(-1.5,0.1)	-1.41839206336134
N(-1.5,0.1)	-1.41542930892824
N(-1.5,0.1)	-1.48052891291396
N(-1.5,0.1)	-1.5690842959499
N(-1.5,0.1)	-1.2001927778681
N(-1.5,0.1)	-1.43888534601199
N(-1.5,0.1)	-1.43772810413888
N(-1.5,0.1)	-1.58542431344407
N(-1.5,0.1)	-1.66369844493212
N(-1.5,0.1)	-1.5009720658784
N(-1.5,0.1)	-1.40723806891574
N(-1.5,0.1)	-1.46409459645667
N(-1.5,0.1)	-1.62004143758023
N(-1.5,0.1)	-1.60214046796788
N(-1.5,0.1)	-1.40390390763606
N(-1.5,0.1)	-1.45227040403755
N(-1.5,0.1)	-1.53084647880539
N(-1.5,0.1)	-1.4103017166092
N(-1.5,0.1)	-1.38028179068741
N(-1.5,0.1)	-1.41100361025015
N(-1.5,0.1)	-1.41412667902255
N(-1.5,0.1)	-1.68656947459282
N(-1.5,0.1)	-1.52798018700999
N(-1.5,0.1)	-1.43022129797207
N(-1.5,0.1)	-1.42089057268293
N(-1.5,0.1)	-1.58179239995175
N(-1.5,0.1)	-1.62651989434178
N(-1.5,0.1)	-1.45780671639367
N(-1.5,0.1)	-1.43094215824099
N(-1.5,0.1)	-1.49804794530891
N(-1.5,0.1)	-1.48209401324812
N(-1.5,0.1)	-1.53482826874416
N(-1.5,0.1)	-1.55840732941956
N(-1.5,0.1)	-1.50278991801352
N(-1.5,0.1)	-1.55872232064458
N(-1.5,0.1)	-1.59951216052627
N(-1.5,0.1)	-1.56063346211088
N(-1.5,0.1)	-1.47131522238121
N(-1.5,0.1)	-1.59800511801272
N(-1.5,0.1)	-1.36703861254635
N(-1.5,0.1)	-1.40713213617664
N(-1.5,0.1)	-1.69759028874476
N(-1.5,0.1)	-1.66569743562443
N(-1.5,0.1)	-1.61566205819718
N(-1.5,0.1)	-1.64512427345339
N(-1.5,0.1)	-1.37595154227359
N(-1.5,0.1)	-1.70361894459241
N(-1.5,0.1)	-1.55145502031731
N(-1.5,0.1)	-1.57891591793801
N(-1.5,0.1)	-1.43091920682918
N(-1.5,0.1)	-1.58048039576594
N(-1.5,0.1)	-1.43746620826921
N(-1.5,0.1)	-1.6097053844392
N(-1.5,0.1)	-1.3968204091232
N(-1.5,0.1)	-1.62637930639788
N(-1.5,0.1)	-1.53577493737327
N(-1.5,0.1)	-1.61487245142715
N(-1.5,0.1)	-1.64727824050419
N(-1.5,0.1)	-1.42277889931299
N(-1.5,0.1)	-1.56026740774188
N(-1.5,0.1)	-1.60515291690194
N(-1.5,0.1)	-1.39381931948204
N(-1.5,0.1)	-1.47261422077895
N(-1.5,0.1)	-1.63711471966958
N(-1.5,0.1)	-1.64798419055811
N(-1.5,0.1)	-1.5765534222273
N(-1.5,0.1)	-1.45423329731909
N(-1.5,0.1)	-1.6025324631174
N(-1.5,0.1)	-1.48253587774174
N(-1.5,0.1)	-1.38563986499722
N(-1.5,0.1)	-1.64886197263571
N(-1.5,0.1)	-1.38775678663317
N(-1.5,0.1)	-1.32683810771232
N(-1.5,0.1)	-1.3700014603046
N(-1.5,0.1)	-1.48365155594338
N(-1.5,0.1)	-1.45856100353849
N(-1.5,0.1)	-1.38699111535295
N(-1.5,0.1)	-1.39501155530359
N(-1.5,0.1)	-1.57559488154762
N(-1.5,0.1)	-1.48532153955509
N(-1.5,0.1)	-1.56584516715434
N(-1.5,0.1)	-1.47302747083499
N(-1.5,0.1)	-1.39362514021744
N(-1.5,0.1)	-1.47099760468991
N(-1.5,0.1)	-1.33164157542914
N(-1.5,0.1)	-1.38647487029476
N(-1.5,0.1)	-1.42041325782902
N(-1.5,0.1)	-1.54727104418813
N(-1.5,0.1)	-1.52234787807307
N(-1.5,0.1)	-1.58493025378392
N(-1.5,0.1)	-1.34804393790806
N(-1.5,0.1)	-1.53026042045039
N(-1.5,0.1)	-1.45629664982299
N(-1.5,0.1)	-1.76368561771646
N(-1.5,0.1)	-1.64983328049524
N(-1.5,0.1)	-1.51904281967969
N(-1.5,0.1)	-1.24739516019034
N(-1.5,0.1)	-1.56389066434597
N(-1.5,0.1)	-1.59432720381262
N(-1.5,0.1)	-1.53101352563727
N(-1.5,0.1)	-1.36224220602275
N(-1.5,0.1)	-1.52276635623285
N(-1.5,0.1)	-1.65702010664525
N(-1.5,0.1)	-1.53724583148172
N(-1.5,0.1)	-1.44926757385734
N(-1.5,0.1)	-1.41035889890669
N(-1.5,0.1)	-1.45724892237575
N(-1.5,0.1)	-1.49692802580403
N(-1.5,0.1)	-1.58266785533071
N(-1.5,0.1)	-1.46960422867572
N(-1.5,0.1)	-1.5935402266366
N(-1.5,0.1)	-1.63861375890806
N(-1.5,0.1)	-1.34150681467569
N(-1.5,0.1)	-1.53563258391247
N(-1.5,0.1)	-1.70189462072895
N(-1.5,0.1)	-1.4360113575941
N(-1.5,0.1)	-1.58935122469343
N(-1.5,0.1)	-1.51803467015181
N(-1.5,0.1)	-1.58993706658055
N(-1.5,0.1)	-1.51188822267407
N(-1.5,0.1)	-1.55951339703741
N(-1.5,0.1)	-1.436984998265
N(-1.5,0.1)	-1.51870459566797
N(-1.5,0.1)	-1.48803860942331
N(-1.5,0.1)	-1.49870423542443
N(-1.5,0.1)	-1.54998240797346
N(-1.5,0.1)	-1.56538508903042
N(-1.5,0.1)	-1.48675206605484
N(-1.5,0.1)	-1.55699150157153
N(-1.5,0.1)	-1.63484830333538
N(-1.5,0.1)	-1.45377424264493
N(-1.5,0.1)	-1.38467485088375
N(-1.5,0.1)	-1.64870524260355
N(-1.5,0.1)	-1.46138279651442
N(-1.5,0.1)	-1.48114140655972
N(-1.5,0.1)	-1.45795786106113
N(-1.5,0.1)	-1.49538733878043
N(-1.5,0.1)	-1.39848121919915
N(-1.5,0.1)	-1.51064978932228
N(-1.5,0.1)	-1.46526005481399
N(-1.5,0.1)	-1.4208613835707
N(-1.5,0.1)	-1.48576363999722
N(-1.5,0.1)	-1.34086111565957
N(-1.5,0.1)	-1.41918655651068
N(-1.5,0.1)	-1.51372146401352
N(-1.5,0.1)	-1.49787640183509
N(-1.5,0.1)	-1.4983470294065
N(-1.5,0.1)	-1.52868225090479
N(-1.5,0.1)	-1.50915856447725
N(-1.5,0.1)	-1.45221367017539
N(-1.5,0.1)	-1.47147304899679
N(-1.5,0.1)	-1.55663937943735
N(-1.5,0.1)	-1.57315739744781
N(-1.5,0.1)	-1.67169491118383
N(-1.5,0.1)	-1.57937557804821
N(-1.5,0.1)	-1.48222687925439
N(-1.5,0.1)	-1.38434155909855
N(-1.5,0.1)	-1.50614268221969
N(-1.5,0.1)	-1.50968433988292
N(-1.5,0.1)	-1.54581127036479
N(-1.5,0.1)	-1.4949989440492
N(-1.5,0.1)	-1.38940562705811
N(-1.5,0.1)	-1.41460111166338
N(-1.5,0.1)	-1.55547771319345
N(-1.5,0.1)	-1.54468913392903
N(-1.5,0.1)	-1.46578513578535
N(-1.5,0.1)	-1.44686800301378
N(-1.5,0.1)	-1.52497699372375
N(-1.5,0.1)	-1.66927594902569
N(-1.5,0.1)	-1.67631105853522
N(-1.5,0.1)	-1.51691011289358
N(-1.5,0.1)	-1.45343151257472
N(-1.5,0.1)	-1.47855080256058
N(-1.5,0.1)	-1.43339737545959
N(-1.5,0.1)	-1.50027313983059
N(-1.5,0.1)	-1.52337127819753
N(-1.5,0.1)	-1.56041748374139
N(-1.5,0.1)	-1.69993801444837
N(-1.5,0.1)	-1.49746441013716
N(-1.5,0.1)	-1.57527568666237
N(-1.5,0.1)	-1.46304425704084
N(-1.5,0.1)	-1.61204012701149
N(-1.5,0.1)	-1.45269043831454
N(-1.5,0.1)	-1.48223783430058
N(-1.5,0.1)	-1.42701554012235
N(-1.5,0.1)	-1.55302853495528
N(-1.5,0.1)	-1.29561051927251
N(-1.5,0.1)	-1.48150103207774
N(-1.5,0.1)	-1.48543599648058
N(-1.5,0.1)	-1.56992106704449
N(-1.5,0.1)	-1.47580918924142
N(-1.5,0.1)	-1.58694234602898
N(-1.5,0.1)	-1.53120261824237
N(-1.5,0.1)	-1.53826147641419
N(-1.5,0.1)	-1.58982171411593
N(-1.5,0.1)	-1.41671436357523
N(-1.5,0.1)	-1.57214376150908
N(-1.5,0.1)	-1.45326942620208
N(-1.5,0.1)	-1.42673699135106
N(-1.5,0.1)	-1.34188045328342
N(-1.5,0.1)	-1.41020811850717
N(-1.5,0.1)	-1.44867911311137
N(-1.5,0.1)	-1.61531253852043
N(-1.5,0.1)	-1.61968635698069
N(-1.5,0.1)	-1.54434241629714
N(-1.5,0.1)	-1.4550417017118
N(-1.5,0.1)	-1.34043910205058
N(-1.5,0.1)	-1.53246251660107
N(-1.5,0.1)	-1.32594526906227
N(-1.5,0.1)	-1.41225765737021
N(-1.5,0.1)	-1.67233558965632
N(-1.5,0.1)	-1.36694775732555
N(-1.5,0.1)	-1.51168756051489
N(-1.5,0.1)	-1.53927347483238
N(-1.5,0.1)	-1.60074465917044
N(-1.5,0.1)	-1.67013773420217
N(-1.5,0.1)	-1.61715254219557
N(-1.5,0.1)	-1.65983446974897
N(-1.5,0.1)	-1.54456344693171
N(-1.5,0.1)	-1.47586222219628
N(-1.5,0.1)	-1.39409729670071
N(-1.5,0.1)	-1.58599563248324
N(-1.5,0.1)	-1.58354073997312
N(-1.5,0.1)	-1.53703262374873
N(-1.5,0.1)	-1.5496275817236
N(-1.5,0.1)	-1.56627185421804
N(-1.5,0.1)	-1.30734314731438
N(-1.5,0.1)	-1.60611310861375
N(-1.5,0.1)	-1.39235826640876
N(-1.5,0.1)	-1.3964267241569
N(-1.5,0.1)	-1.40683494514591
N(-1.5,0.1)	-1.52047583441087
N(-1.5,0.1)	-1.3835415172006
N(-1.5,0.1)	-1.20266941476261
N(-1.5,0.1)	-1.50764468655373
N(-1.5,0.1)	-1.37392455422877
N(-1.5,0.1)	-1.40184645608013
N(-1.5,0.1)	-1.59080889276029
N(-1.5,0.1)	-1.47376578834831
N(-1.5,0.1)	-1.44165512757018
N(-1.5,0.1)	-1.62811882143058
N(-1.5,0.1)	-1.60038660248761
N(-1.5,0.1)	-1.51269867464677
N(-1.5,0.1)	-1.58164816278829
N(-1.5,0.1)	-1.34413220099694
N(-1.5,0.1)	-1.50136561830738
N(-1.5,0.1)	-1.57339906587876
N(-1.5,0.1)	-1.40290321379359
N(-1.5,0.1)	-1.56361202873839
N(-1.5,0.1)	-1.51935924463798
N(-1.5,0.1)	-1.60670459330426
N(-1.5,0.1)	-1.33216869776276
N(-1.5,0.1)	-1.4712935940707
N(-1.5,0.1)	-1.66363014881464
N(-1.5,0.1)	-1.53700225106941
N(-1.5,0.1)	-1.43217896760074
N(-1.5,0.1)	-1.4511889148552
N(-1.5,0.1)	-1.5837642127979
N(-1.5,0.1)	-1.5398064821438
N(-1.5,0.1)	-1.54422732727106
N(-1.5,0.1)	-1.43495949676545
N(-1.5,0.1)	-1.51364678380263
N(-1.5,0.1)	-1.45540637318035
N(-1.5,0.1)	-1.50547777036176
N(-1.5,0.1)	-1.49274048172411
N(-1.5,0.1)	-1.48903797852595
N(-1.5,0.1)	-1.52371841432924
N(-1.5,0.1)	-1.47178253886813
N(-1.5,0.1)	-1.56762845688501
N(-1.5,0.1)	-1.58721832387446
N(-1.5,0.1)	-1.48013259845388
N(-1.5,0.1)	-1.46804837454188
N(-1.5,0.1)	-1.51714788833253
N(-1.5,0.1)	-1.49187093777327
N(-1.5,0.1)	-1.45001824986367
N(-1.5,0.1)	-1.70461515578775
N(-1.5,0.1)	-1.64877523387449
N(-1.5,0.1)	-1.48047609022712
N(-1.5,0.1)	-1.4380414797798
N(-1.5,0.1)	-1.49174290768482
N(-1.5,0.1)	-1.44073179721891
N(-1.5,0.1)	-1.57429358581636
N(-1.5,0.1)	-1.41997234342063
N(-1.5,0.1)	-1.49723898124291
N(-1.5,0.1)	-1.44522432047274
N(-1.5,0.1)	-1.57925914707081
N(-1.5,0.1)	-1.56857324110032
N(-1.5,0.1)	-1.53718957407403
N(-1.5,0.1)	-1.48088088969268
N(-1.5,0.1)	-1.59054926648131
N(-1.5,0.1)	-1.34411804808168
N(-1.5,0.1)	-1.48513834112668
N(-1.5,0.1)	-1.40956743825937
N(-1.5,0.1)	-1.63376278792671
N(-1.5,0.1)	-1.50349295188797
N(-1.5,0.1)	-1.37035627661855
N(-1.5,0.1)	-1.52049043180551
N(-1.5,0.1)	-1.50050085283561
N(-1.5,0.1)	-1.59337341257482
N(-1.5,0.1)	-1.5959333921738
N(-1.5,0.1)	-1.57013230749
N(-1.5,0.1)	-1.49125400446048
N(-1.5,0.1)	-1.40653501222224
N(-1.5,0.1)	-1.37344873679812
N(-1.5,0.1)	-1.50375159780783
N(-1.5,0.1)	-1.40206486674918
N(-1.5,0.1)	-1.60114257954076
N(-1.5,0.1)	-1.4509847487008
N(-1.5,0.1)	-1.55826311241775
N(-1.5,0.1)	-1.43652181395917
N(-1.5,0.1)	-1.51202182240133
N(-1.5,0.1)	-1.74283344289056
N(-1.5,0.1)	-1.56531808706516
N(-1.5,0.1)	-1.49776006489011
N(-1.5,0.1)	-1.4557613885631
N(-1.5,0.1)	-1.49522897112098
N(-1.5,0.1)	-1.56758088740559
N(-1.5,0.1)	-1.55576426670491
N(-1.5,0.1)	-1.6646553861152
N(-1.5,0.1)	-1.43212327754054
N(-1.5,0.1)	-1.63520854170329
N(-1.5,0.1)	-1.42384589821609
N(-1.5,0.1)	-1.50003338786117
N(-1.5,0.1)	-1.57635115360278
N(-1.5,0.1)	-1.50546042723344
N(-1.5,0.1)	-1.67886395279114
N(-1.5,0.1)	-1.38974846769419
N(-1.5,0.1)	-1.49759565787901
N(-1.5,0.1)	-1.49123977592072
N(-1.5,0.1)	-1.5169214832672
N(-1.5,0.1)	-1.5214492281018
N(-1.5,0.1)	-1.34877055025214
N(-1.5,0.1)	-1.55010139025695
N(-1.5,0.1)	-1.39630358288977
N(-1.5,0.1)	-1.30571037074503
N(-1.5,0.1)	-1.42376027103385
N(-1.5,0.1)	-1.53391841220741
N(-1.5,0.1)	-1.54729134371528
N(-1.5,0.1)	-1.66742733623606
N(-1.5,0.1)	-1.48138036220309
N(-1.5,0.1)	-1.51590093700867
N(-1.5,0.1)	-1.44990187799047
N(-1.5,0.1)	-1.54296975509152
N(-1.5,0.1)	-1.42153156836469
N(-1.5,0.1)	-1.51612539943362
N(-1.5,0.1)	-1.61518043200107
N(-1.5,0.1)	-1.59756621121342
N(-1.5,0.1)	-1.49441879042413
N(-1.5,0.1)	-1.56680860593802
N(-1.5,0.1)	-1.49627262710607
N(-1.5,0.1)	-1.51788265098527
N(-1.5,0.1)	-1.51912286867041
N(-1.5,0.1)	-1.41818854485424
N(-1.5,0.1)	-1.46810777132792
N(-1.5,0.1)	-1.49559061839629
N(-1.5,0.1)	-1.56502130379735
N(-1.5,0.1)	-1.40016432434128
N(-1.5,0.1)	-1.34756189052802
N(-1.5,0.1)	-1.64594861898832
N(-1.5,0.1)	-1.57163257017624
N(-1.5,0.1)	-1.57458557486415
N(-1.5,0.1)	-1.38742634880232
N(-1.5,0.1)	-1.53827155899705
N(-1.5,0.1)	-1.53068695191048
N(-1.5,0.1)	-1.38077831629717
N(-1.5,0.1)	-1.47748406843057
N(-1.5,0.1)	-1.38449031150747
N(-1.5,0.1)	-1.5391461667248
N(-1.5,0.1)	-1.49202701871213
N(-1.5,0.1)	-1.49825331015988
N(-1.5,0.1)	-1.34961836037719
N(-1.5,0.1)	-1.60081417492724
N(-1.5,0.1)	-1.44965668863331
N(-1.5,0.1)	-1.40983765626906
N(-1.5,0.1)	-1.41089855596504
N(-1.5,0.1)	-1.43869512004013
N(-1.5,0.1)	-1.46699479974101
N(-1.5,0.1)	-1.36896280769269
N(-1.5,0.1)	-1.47599590592856
N(-1.5,0.1)	-1.46736038326137
N(-1.5,0.1)	-1.59642858795755
N(-1.5,0.1)	-1.70725548491068
N(-1.5,0.1)	-1.6360035645034
N(-1.5,0.1)	-1.44226212644597
N(-1.5,0.1)	-1.43613024684818
N(-1.5,0.1)	-1.58282747960639
N(-1.5,0.1)	-1.52880800351638
N(-1.5,0.1)	-1.47436959424362
N(-1.5,0.1)	-1.49611891052194
N(-1.5,0.1)	-1.53390358181319
N(-1.5,0.1)	-1.48599226153524
N(-1.5,0.1)	-1.62451163153993
N(-1.5,0.1)	-1.47990997803596
N(-1.5,0.1)	-1.63016605099909
N(-1.5,0.1)	-1.48065517234224
N(-1.5,0.1)	-1.60284219695429
N(-1.5,0.1)	-1.51947569537977
N(-1.5,0.1)	-1.45814367392744
N(-1.5,0.1)	-1.49486235451928
N(-1.5,0.1)	-1.60108849306262
N(-1.5,0.1)	-1.53345785310639
N(-1.5,0.1)	-1.53954446877873
N(-1.5,0.1)	-1.55164890240653
N(-1.5,0.1)	-1.57872687916845
N(-1.5,0.1)	-1.47584700460421
N(-1.5,0.1)	-1.35384677138259
N(-1.5,0.1)	-1.45751631697304
N(-1.5,0.1)	-1.46480269938195
N(-1.5,0.1)	-1.46225306173015
N(-1.5,0.1)	-1.46884988899046
N(-1.5,0.1)	-1.4909288828678
N(-1.5,0.1)	-1.43790304392071
N(-1.5,0.1)	-1.33949955075662
N(-1.5,0.1)	-1.56876072096837
N(-1.5,0.1)	-1.47485712130493
N(-1.5,0.1)	-1.50902039003094
N(-1.5,0.1)	-1.48692364734984
N(-1.5,0.1)	-1.53567943070611
N(-1.5,0.1)	-1.47896016646668
N(-1.5,0.1)	-1.56143304029731
N(-1.5,0.1)	-1.39515630086476
N(-1.5,0.1)	-1.44914105073381
N(-1.5,0.1)	-1.51526003681197
N(-1.5,0.1)	-1.59525111756717
N(-1.5,0.1)	-1.41955285558808
N(-1.5,0.1)	-1.52981517637366
N(-1.5,0.1)	-1.55092577716487
N(-1.5,0.1)	-1.57744884342764
N(-1.5,0.1)	-1.47215020049033
N(-1.5,0.1)	-1.52491940867351
N(-1.5,0.1)	-1.50602849271297
N(-1.5,0.1)	-1.46888575844046
N(-1.5,0.1)	-1.45001763234238
N(-1.5,0.1)	-1.58523931591783
N(-1.5,0.1)	-1.47627401002437
N(-1.5,0.1)	-1.60257832846694
N(-1.5,0.1)	-1.31531133099736
N(-1.5,0.1)	-1.51459947844828
N(-1.5,0.1)	-1.46519456610532
N(-1.5,0.1)	-1.39377012196652
N(-1.5,0.1)	-1.36174613245331
N(-1.5,0.1)	-1.5059772875135
N(-1.5,0.1)	-1.49588262699595
N(-1.5,0.1)	-1.57326666511266
N(-1.5,0.1)	-1.33695774344341
N(-1.5,0.1)	-1.46263978094297
N(-1.5,0.1)	-1.4747095240782
N(-1.5,0.1)	-1.57619586126308
N(-1.5,0.1)	-1.66860302572465
N(-1.5,0.1)	-1.43456684626141
N(-1.5,0.1)	-1.46779943381613
N(-1.5,0.1)	-1.5435584161339
N(-1.5,0.1)	-1.36629415784786
N(-1.5,0.1)	-1.40991154239107
N(-1.5,0.1)	-1.67489395481567
N(-1.5,0.1)	-1.34532021705923
N(-1.5,0.1)	-1.6687968351663
N(-1.5,0.1)	-1.30771108151647
N(-1.5,0.1)	-1.71311573553881
N(-1.5,0.1)	-1.43502542451733
N(-1.5,0.1)	-1.5214656869868
N(-1.5,0.1)	-1.36074862749719
N(-1.5,0.1)	-1.46663622567797
N(-1.5,0.1)	-1.43839135700244
N(-1.5,0.1)	-1.37794374819375
N(-1.5,0.1)	-1.4414453433436
N(-1.5,0.1)	-1.47202493400635
N(-1.5,0.1)	-1.6106534838406
N(-1.5,0.1)	-1.38140365502502
N(-1.5,0.1)	-1.55582257047295
N(-1.5,0.1)	-1.6364033981682
N(-1.5,0.1)	-1.69778970447497
N(-1.5,0.1)	-1.53792615345106
N(-1.5,0.1)	-1.52394627945604
N(-1.5,0.1)	-1.55443662698131
N(-1.5,0.1)	-1.4295384714886
N(-1.5,0.1)	-1.41170585766447
N(-1.5,0.1)	-1.4345238350021
N(-1.5,0.1)	-1.4879545312565
