seq,cust_id,ctg_1,ctg_2,sales_amt
136,100040,cosmetics,cleansing,85000.0
137,100040,household goods,paper towel,12700.0
138,100040,food,beverage,8400.0
139,100040,clothing,road shop brand,44400.0
140,100040,clothing,women's clothing,94500.0
141,100040,cosmetics,luxury cosmetics,529100.0
142,100040,electronic products,video sound,673000.0
143,100040,food,cookies,9000.0
144,100040,clothing,infant clothes,29500.0
145,100041,food,instant food,39600.0
146,100041,clothing,men's clothing,63300.0
147,100042,clothing,road shop brand,49000.0
148,100043,clothing,men's clothing,65500.0
149,100045,clothing,children & junior clothing,54800.0
150,100046,clothing,infant clothes,27700.0
151,100047,food,health food,95500.0
152,100048,clothing,women's clothing,93600.0
153,100049,clothing,men's clothing,62100.0
154,100050,clothing,men's clothing,67100.0
155,100051,food,beverage,13100.0
156,100052,clothing,children & junior clothing,53800.0
157,100053,clothing,road shop brand,51000.0
158,100054,food,processed food,11800.0
159,100054,food,agricultural products,20800.0
160,100055,household goods,paper towel,16400.0
161,100057,clothing,road shop brand,43200.0
162,100058,clothing,women's clothing,95600.0
163,100058,cosmetics,luxury cosmetics,525000.0
164,100058,electronic products,kitchen appliances,350600.0
165,100058,clothing,men's clothing,59800.0
166,100058,cosmetics,luxury cosmetics,528600.0
167,100059,clothing,men's clothing,65900.0
168,100060,food,instant food,39900.0
169,100060,clothing,children & junior clothing,61200.0
170,100062,clothing,Other Apparel,95100.0
171,100062,clothing,children & junior clothing,56300.0
172,100062,clothing,women's clothing,99400.0
173,100062,clothing,Other Apparel,99400.0
174,100062,clothing,men's clothing,66000.0
175,100063,clothing,men's clothing,67500.0
176,100065,food,snack,7100.0
177,100066,clothing,men's clothing,67200.0
178,100069,clothing,underwear,14700.0
179,100069,clothing,infant clothes,29600.0
180,100070,clothing,men's clothing,62700.0
181,100071,clothing,men's clothing,65700.0
182,100072,clothing,children & junior clothing,53800.0
183,100073,food,beverage,7800.0
184,100075,food,health food,99900.0
185,100075,food,agricultural products,15100.0
186,100075,food,aquaculture products,39000.0
187,100075,clothing,infant clothes,32100.0
188,100075,clothing,children & junior clothing,56700.0
189,100075,clothing,women's clothing,100600.0
190,100076,clothing,infant clothes,31500.0
191,100077,clothing,men's clothing,61100.0
192,100078,clothing,men's clothing,65500.0
193,100078,clothing,children & junior clothing,55900.0
194,100079,food,aquaculture products,35700.0
195,100080,clothing,children & junior clothing,60300.0
196,100081,clothing,men's clothing,65600.0
197,100082,clothing,children & junior clothing,57800.0
198,100083,electronic products,cellphone,819400.0
199,100085,clothing,children & junior clothing,61900.0
200,100086,clothing,men's clothing,62500.0
201,100088,clothing,men's clothing,60500.0
202,100089,clothing,men's clothing,65500.0
203,100090,clothing,women's clothing,98800.0
204,100091,clothing,infant clothes,26400.0
205,100093,food,aquaculture products,37200.0
206,100094,household goods,paper towel,18400.0
207,100099,clothing,men's clothing,58500.0
208,100101,clothing,men's clothing,61400.0
209,100103,clothing,men's clothing,59000.0
210,100104,clothing,men's clothing,66700.0
211,100105,clothing,children & junior clothing,53700.0
212,100106,household goods,paper towel,18300.0
213,100108,clothing,men's clothing,65300.0
214,100108,clothing,children & junior clothing,61100.0
215,100108,clothing,infant clothes,28300.0
216,100108,clothing,Other Apparel,94600.0
217,100109,clothing,men's clothing,62700.0
218,100110,clothing,men's clothing,67300.0
219,100112,household goods,paper towel,12300.0
220,100112,food,cookies,13700.0
221,100112,clothing,children & junior clothing,60600.0
222,100113,household goods,paper towel,17600.0
223,100115,clothing,children & junior clothing,60500.0
224,100115,clothing,infant clothes,32500.0
225,100116,household goods,paper towel,12300.0
226,100116,clothing,men's clothing,58700.0
227,100116,clothing,pajamas,15600.0
228,100117,clothing,men's clothing,59300.0
229,100117,clothing,children & junior clothing,58700.0
230,100118,household goods,paper towel,13400.0
231,100118,clothing,men's clothing,59200.0
232,100118,clothing,pajamas,13500.0
233,100119,household goods,paper towel,17500.0
234,100119,clothing,men's clothing,59900.0
235,100119,clothing,pajamas,17900.0
236,100120,clothing,road shop brand,41900.0
237,100121,clothing,women's clothing,98300.0
238,100122,clothing,pajamas,11300.0
239,100124,clothing,children & junior clothing,59700.0
240,100125,clothing,children & junior clothing,56000.0
241,100126,clothing,women's clothing,98300.0
242,100127,clothing,women's clothing,93400.0
243,100128,clothing,pajamas,18000.0
244,100129,clothing,children & junior clothing,56900.0
245,100130,clothing,men's clothing,63300.0
246,100130,clothing,road shop brand,51000.0
247,100131,food,health food,96900.0
248,100131,food,agricultural products,16900.0
249,100131,food,aquaculture products,37900.0
250,100131,clothing,Other Apparel,93300.0
251,100131,clothing,maternity,87600.0
252,100134,food,beverage,6000.0
253,100135,clothing,women's clothing,95400.0
254,100137,household goods,paper towel,17700.0
255,100137,clothing,children & junior clothing,57000.0
256,100138,clothing,children & junior clothing,57800.0
257,100141,food,cookies,8300.0
258,100142,clothing,women's clothing,95000.0
259,100143,clothing,pajamas,13800.0
260,100145,clothing,sports wear,16200.0
261,100147,clothing,women's clothing,96200.0
262,100148,clothing,road shop brand,47800.0
263,100149,clothing,road shop brand,42200.0
264,100150,clothing,women's clothing,101300.0
265,100153,clothing,men's clothing,62900.0
266,100153,clothing,women's clothing,97900.0
267,100153,clothing,sports wear,21400.0
268,100153,clothing,children & junior clothing,60700.0
269,100153,clothing,women's clothing,97400.0
270,100154,clothing,men's clothing,66200.0
271,100155,food,aquaculture products,34900.0
272,100156,clothing,infant clothes,27400.0
273,100157,clothing,women's clothing,93600.0
274,100158,clothing,children & junior clothing,54700.0
275,100159,household goods,paper towel,9500.0
276,100159,clothing,infant clothes,28900.0
277,100160,food,beverage,10800.0
278,100161,clothing,women's clothing,93600.0
279,100162,clothing,men's clothing,66300.0
280,100163,clothing,men's clothing,67600.0
281,100165,food,aquaculture products,35500.0
282,100166,electronic products,kitchen appliances,347700.0
283,100167,clothing,infant clothes,34300.0
284,100168,clothing,infant clothes,34300.0
285,100169,clothing,men's clothing,64500.0
286,100170,clothing,road shop brand,45600.0
287,100170,clothing,children & junior clothing,55800.0
288,100170,clothing,women's clothing,98500.0
289,100170,food,beverage,10000.0
290,100170,clothing,women's clothing,94400.0
291,100170,clothing,infant clothes,30300.0
292,100171,clothing,children & junior clothing,53400.0
293,100172,clothing,men's clothing,61100.0
294,100173,household goods,paper towel,10400.0
295,100173,food,beverage,8300.0
296,100173,clothing,underwear,15800.0
297,100174,food,processed food,17200.0
298,100174,food,agricultural products,20500.0
299,100174,food,aquaculture products,38700.0
300,100174,clothing,sports wear,14300.0
301,100175,clothing,women's clothing,99400.0
302,100176,clothing,women's clothing,97800.0
303,100177,clothing,women's clothing,98500.0
304,110001,household goods,paper towel,15500.0
305,110002,food,cookies,9900.0
306,110002,clothing,women's clothing,96500.0
307,110003,clothing,men's clothing,59700.0
308,110004,clothing,men's clothing,64500.0
309,110004,clothing,children & junior clothing,61600.0
310,110005,clothing,road shop brand,46400.0
311,110006,food,snack,7400.0
312,110006,clothing,women's clothing,97400.0
313,110007,clothing,road shop brand,44400.0
314,110008,clothing,men's clothing,65100.0
315,110008,clothing,infant clothes,31800.0
316,110009,food,processed food,15400.0
317,110009,cosmetics,suncare,44700.0
318,110010,food,cookies,10000.0
319,110010,clothing,Other Apparel,99500.0
320,110010,clothing,men's clothing,62300.0
321,110010,clothing,Other Apparel,93800.0
322,110010,clothing,children & junior clothing,60600.0
323,110011,food,snack,10900.0
324,110011,clothing,sports wear,17800.0
325,110012,clothing,children & junior clothing,55200.0
326,110012,cosmetics,luxury cosmetics,530700.0
327,110014,clothing,men's clothing,66900.0
328,110014,clothing,women's clothing,93100.0
329,110015,household goods,paper towel,12500.0
330,110015,clothing,children & junior clothing,53500.0
331,110015,clothing,pajamas,13800.0
332,110016,household goods,paper towel,13900.0
333,110016,clothing,men's clothing,60400.0
334,110017,clothing,men's clothing,63100.0
335,110017,clothing,infant clothes,31900.0
336,110018,clothing,women's clothing,94200.0
337,110018,clothing,infant clothes,28500.0
338,110019,household goods,paper towel,14300.0
339,110019,food,snack,7900.0
340,110019,food,beverage,6000.0
341,110019,clothing,men's clothing,64400.0
342,110019,clothing,women's clothing,94900.0
343,110019,clothing,maternity,83600.0
344,110019,clothing,women's clothing,98300.0
345,110020,food,agricultural products,17600.0
346,110020,food,aquaculture products,35700.0
347,110020,clothing,children & junior clothing,62300.0
348,110021,food,agricultural products,14800.0
349,110021,food,aquaculture products,36100.0
350,110021,food,beverage,13700.0
351,110021,clothing,children & junior clothing,54600.0
352,110022,food,agricultural products,16000.0
353,110022,food,aquaculture products,41300.0
354,110023,food,cookies,13400.0
355,110023,clothing,men's clothing,64000.0
356,110024,food,agricultural products,18500.0
357,110024,food,aquaculture products,35700.0
358,110024,clothing,women's clothing,98100.0
359,110024,clothing,women's clothing,101200.0
360,110025,clothing,children & junior clothing,57500.0
361,110026,clothing,children & junior clothing,53500.0
362,110027,clothing,men's clothing,65500.0
363,110027,clothing,women's clothing,95400.0
364,110027,food,health food,101000.0
365,110027,food,aquaculture products,33200.0
366,110029,clothing,men's clothing,61700.0
367,110030,clothing,road shop brand,46600.0
368,110031,clothing,road shop brand,47200.0
369,110032,clothing,infant clothes,30100.0
370,110033,clothing,men's clothing,60900.0
371,110035,household goods,paper towel,18100.0
372,110036,food,beverage,12400.0
373,110036,cosmetics,body products,66600.0
374,110037,clothing,children & junior clothing,53500.0
375,110038,clothing,men's clothing,67200.0
376,110039,household goods,paper towel,12800.0
377,110040,clothing,women's clothing,100700.0
378,110041,food,agricultural products,17800.0
379,110041,clothing,Other Apparel,94800.0
380,110044,household goods,paper towel,10200.0
381,110045,clothing,Other Apparel,101100.0
382,110046,clothing,children & junior clothing,60500.0
383,110047,clothing,pajamas,19500.0
384,110048,clothing,men's clothing,65000.0
385,110049,clothing,road shop brand,46300.0
386,110050,clothing,men's clothing,67500.0
387,110051,clothing,men's clothing,64900.0
388,110052,clothing,Other Apparel,100800.0
389,110052,clothing,men's clothing,65200.0
390,110052,clothing,infant clothes,32800.0
391,110052,clothing,pajamas,13000.0
392,110052,clothing,women's clothing,96900.0
393,110053,clothing,men's clothing,62600.0
394,110054,clothing,sports wear,14900.0
395,110054,clothing,women's clothing,99100.0
396,110055,household goods,paper towel,10300.0
397,110055,food,cookies,12300.0
398,110055,clothing,infant clothes,28400.0
399,110056,clothing,women's clothing,98200.0
400,110057,clothing,men's clothing,61900.0
401,110058,clothing,men's clothing,64500.0
402,110059,food,cookies,6800.0
403,110061,clothing,men's clothing,61400.0
404,110062,clothing,Other Apparel,99500.0
405,110062,clothing,men's clothing,64600.0
406,110062,clothing,women's clothing,100000.0
407,110063,food,instant food,39500.0
408,110067,clothing,men's clothing,58900.0
409,110069,clothing,infant clothes,27000.0
410,110070,food,beverage,5900.0
411,110072,food,cookies,7300.0
412,110073,household goods,paper towel,17800.0
413,110073,cosmetics,hair,2200.0
414,110074,clothing,children & junior clothing,59000.0
415,110075,household goods,paper towel,15400.0
416,110075,clothing,women's clothing,93000.0
417,110079,clothing,Other Apparel,100400.0
418,110080,clothing,men's clothing,59100.0
419,110081,clothing,men's clothing,64700.0
420,110084,clothing,sports wear,14700.0
421,110087,clothing,children & junior clothing,60800.0
422,110088,clothing,children & junior clothing,53600.0
423,110089,household goods,paper towel,18300.0
424,110089,clothing,children & junior clothing,54300.0
425,110089,clothing,women's clothing,96900.0
426,110089,clothing,women's clothing,99100.0
427,110090,clothing,men's clothing,64500.0
428,110091,clothing,men's clothing,63500.0
429,110092,food,health food,99400.0
430,110093,clothing,men's clothing,64400.0
431,110098,clothing,women's clothing,94900.0
432,110099,clothing,men's clothing,65800.0
433,110100,household goods,paper towel,15200.0
434,110102,clothing,women's clothing,100400.0
435,110103,household goods,paper towel,9800.0
436,110103,clothing,men's clothing,66600.0
437,110103,clothing,infant clothes,29700.0
438,110104,clothing,men's clothing,62200.0
439,110105,clothing,women's clothing,94500.0
440,110106,household goods,paper towel,18000.0
441,110106,clothing,women's clothing,93800.0
442,110107,clothing,men's clothing,60500.0
443,110109,household goods,paper towel,16400.0
444,110109,clothing,pajamas,17500.0
445,110113,clothing,women's clothing,97400.0
446,110114,clothing,men's clothing,63300.0
447,110115,clothing,men's clothing,62700.0
448,110116,clothing,women's clothing,94500.0
449,110118,food,beverage,9600.0
450,110119,clothing,women's clothing,99100.0
451,110120,clothing,men's clothing,64600.0
452,110120,clothing,underwear,16000.0
453,110120,clothing,pajamas,12100.0
454,110122,household goods,paper towel,14400.0
455,110122,clothing,children & junior clothing,58500.0
456,110123,household goods,paper towel,16300.0
457,110124,clothing,men's clothing,65800.0
458,110125,clothing,men's clothing,64600.0
459,110126,clothing,men's clothing,65200.0
460,110127,household goods,paper towel,13000.0
461,110127,clothing,women's clothing,101900.0
462,110128,household goods,paper towel,9700.0
463,110128,clothing,road shop brand,50500.0
464,110128,clothing,sports wear,18900.0
465,110128,clothing,infant clothes,26500.0
466,110128,clothing,pajamas,11900.0
467,110130,clothing,men's clothing,64600.0
468,110131,clothing,men's clothing,67400.0
469,110132,food,beverage,7000.0
470,110132,clothing,men's clothing,63900.0
471,110133,household goods,paper towel,9500.0
472,110133,clothing,women's clothing,94600.0
473,110135,clothing,men's clothing,65400.0
474,110135,clothing,women's clothing,98600.0
475,110136,clothing,infant clothes,34100.0
476,110137,clothing,men's clothing,63700.0
477,110139,clothing,children & junior clothing,55900.0
478,110143,household goods,kitchen utensils,14000.0
479,110143,food,cookies,11300.0
480,110143,clothing,children & junior clothing,57500.0
481,110143,clothing,women's clothing,93100.0
482,110143,clothing,Other Apparel,98400.0
483,110143,clothing,women's clothing,99000.0
484,110144,household goods,paper towel,16200.0
485,110144,clothing,men's clothing,62800.0
486,110145,clothing,women's clothing,98400.0
487,110146,clothing,road shop brand,44400.0
488,110148,clothing,men's clothing,60100.0
489,110149,clothing,men's clothing,61900.0
490,110150,clothing,men's clothing,66000.0
491,1100001,clothing,men's clothing,62300.0
492,1100001,clothing,children & junior clothing,57800.0
493,1100002,clothing,infant clothes,28700.0
494,1100003,clothing,infant clothes,31500.0
495,1100004,clothing,road shop brand,46700.0
496,1100004,clothing,sports wear,18000.0
497,1100004,clothing,children & junior clothing,54600.0
498,1100004,clothing,infant clothes,32600.0
499,1100004,clothing,men's clothing,65800.0
500,1100004,clothing,road shop brand,43800.0
501,1100004,clothing,infant clothes,33500.0
502,1100004,clothing,maternity,84400.0
503,1100005,clothing,children & junior clothing,58200.0
504,1100006,food,snack,15900.0
505,1100006,clothing,children & junior clothing,60700.0
506,1100007,household goods,paper towel,12200.0
507,1100007,clothing,men's clothing,60400.0
508,1100007,clothing,women's clothing,95400.0
509,1100007,food,health food,94500.0
510,1100007,clothing,children & junior clothing,57100.0
511,1100008,clothing,infant clothes,26200.0
512,1100009,clothing,men's clothing,66100.0
513,1100009,clothing,road shop brand,50800.0
514,1100009,clothing,children & junior clothing,61800.0
515,1100010,clothing,men's clothing,61100.0
516,1100010,clothing,children & junior clothing,59000.0
517,1100010,clothing,women's clothing,101800.0
518,1100011,clothing,men's clothing,61200.0
519,1100011,clothing,pajamas,10900.0
520,1100012,clothing,men's clothing,62100.0
521,1100013,clothing,men's clothing,60000.0
522,1100014,household goods,paper towel,11900.0
523,1100014,clothing,men's clothing,61000.0
524,1100014,clothing,children & junior clothing,53700.0
525,1100014,clothing,women's clothing,101300.0
526,1100014,clothing,infant clothes,26600.0
527,1100014,clothing,women's clothing,93500.0
528,1100015,clothing,children & junior clothing,57700.0
529,1100016,food,cookies,12800.0
530,1100016,food,beverage,5600.0
531,1100016,clothing,road shop brand,49700.0
532,1100017,clothing,road shop brand,43100.0
533,1100017,clothing,children & junior clothing,62300.0
534,1100018,household goods,paper towel,10700.0
535,1100018,clothing,men's clothing,65300.0
536,1100019,clothing,men's clothing,65100.0
537,1100020,clothing,men's clothing,60200.0
538,1100020,clothing,children & junior clothing,55100.0
539,1100020,clothing,infant clothes,30400.0
540,1100020,food,cookies,14600.0
541,1100020,clothing,children & junior clothing,60600.0
542,1100020,clothing,maternity,90300.0
543,1100021,clothing,men's clothing,59200.0
544,1100021,clothing,big size clothing,31000.0
545,1100022,clothing,big size clothing,32100.0
546,1100022,clothing,children & junior clothing,56700.0
547,1100023,clothing,children & junior clothing,56200.0
548,1100023,clothing,women's clothing,97100.0
549,1100023,clothing,women's clothing,95500.0
550,1100024,clothing,Other Apparel,94100.0
551,1100024,clothing,women's clothing,101000.0
552,1100024,household goods,paper towel,13200.0
553,1100024,food,health food,101000.0
554,1100024,food,beverage,12300.0
555,1100024,clothing,Other Apparel,101000.0
556,1100024,clothing,sports wear,21200.0
557,1100025,clothing,men's clothing,61000.0
558,1100026,clothing,men's clothing,62400.0
559,1100026,clothing,children & junior clothing,54000.0
560,1100026,clothing,women's clothing,99300.0
561,1100026,clothing,Other Apparel,93200.0
562,1100027,clothing,children & junior clothing,54700.0
563,1100028,clothing,men's clothing,59300.0
564,1100028,clothing,infant clothes,28900.0
565,1100029,clothing,children & junior clothing,56200.0
566,1100029,clothing,infant clothes,30600.0
567,1100030,clothing,children & junior clothing,54000.0
568,1100031,clothing,men's clothing,61200.0
569,1100031,clothing,children & junior clothing,58000.0
570,1100032,household goods,paper towel,14300.0
571,1100032,clothing,road shop brand,46600.0
572,1100032,clothing,women's clothing,93600.0
573,1100032,clothing,women's clothing,96600.0
574,1100033,food,cookies,9300.0
575,1100033,clothing,road shop brand,44700.0
576,1100033,clothing,children & junior clothing,57600.0
577,1100033,clothing,women's clothing,101300.0
578,1100034,clothing,children & junior clothing,59500.0
579,1100035,food,agricultural products,20600.0
580,1100035,food,aquaculture products,37800.0
581,1100035,clothing,children & junior clothing,54900.0
582,1100036,clothing,children & junior clothing,53600.0
583,1100037,clothing,children & junior clothing,56400.0
584,1100038,clothing,men's clothing,60800.0
585,1100038,clothing,sports wear,17900.0
586,1100038,clothing,children & junior clothing,56600.0
587,1100038,food,aquaculture products,40700.0
588,1100038,clothing,men's clothing,65900.0
589,1100038,clothing,road shop brand,44900.0
590,1100038,clothing,children & junior clothing,58900.0
591,1100038,clothing,infant clothes,27900.0
592,1100038,clothing,maternity,88800.0
593,1100039,household goods,household goods,42400.0
594,1100039,clothing,men's clothing,65100.0
595,1100039,clothing,women's clothing,96100.0
596,1100039,clothing,pajamas,17300.0
597,1100040,electronic products,video sound,681500.0
598,1100040,clothing,men's clothing,61800.0
599,1100040,clothing,children & junior clothing,55500.0
600,1100040,clothing,women's clothing,101500.0
601,1100040,clothing,infant clothes,29000.0
602,1100040,cosmetics,luxury cosmetics,524100.0
603,1100041,clothing,men's clothing,66000.0
604,1100041,clothing,children & junior clothing,58500.0
605,1100042,clothing,men's clothing,60800.0
606,1100042,clothing,children & junior clothing,57700.0
607,1100043,household goods,paper towel,12700.0
608,1100043,clothing,men's clothing,60800.0
609,1100043,clothing,children & junior clothing,54800.0
610,1100043,food,aquaculture products,37300.0
611,1100043,food,beverage,13600.0
612,1100043,clothing,men's clothing,62800.0
613,1100043,clothing,maternity,89600.0
614,1100044,clothing,men's clothing,62300.0
615,1100044,clothing,children & junior clothing,59100.0
616,1100045,clothing,men's clothing,59700.0
617,1100045,clothing,children & junior clothing,59600.0
618,1100046,clothing,children & junior clothing,58500.0
619,1100047,clothing,children & junior clothing,60500.0
620,1100048,food,cookies,5700.0
621,1100048,clothing,men's clothing,66500.0
622,1100048,clothing,children & junior clothing,59700.0
623,1100049,clothing,women's clothing,94900.0
624,1100049,cosmetics,cleansing,90500.0
625,1100049,clothing,women's clothing,101200.0
626,1100050,clothing,children & junior clothing,54500.0
627,1100050,clothing,women's clothing,97000.0
628,1100050,clothing,Other Apparel,98700.0
629,1100051,clothing,men's clothing,63200.0
630,1100051,clothing,children & junior clothing,55900.0
631,1100051,clothing,women's clothing,100900.0
632,1100052,electronic products,cellphone,819200.0
633,1100052,clothing,Other Apparel,96700.0
634,1100052,clothing,children & junior clothing,56500.0
635,1100053,clothing,sports wear,17500.0
636,1100054,clothing,men's clothing,62500.0
637,1100054,clothing,children & junior clothing,54900.0
638,1100055,clothing,infant clothes,27300.0
639,1100056,clothing,pajamas,12800.0
640,1100057,clothing,Other Apparel,95900.0
641,1100057,clothing,children & junior clothing,57700.0
642,1100057,clothing,road shop brand,50300.0
643,1100057,clothing,women's clothing,93600.0
644,1100058,clothing,Other Apparel,93600.0
645,1100058,clothing,men's clothing,66000.0
646,1100058,clothing,men's clothing,62500.0
647,1100058,clothing,women's clothing,99200.0
648,1100059,clothing,children & junior clothing,61400.0
649,1100059,clothing,infant clothes,31000.0
650,1100060,household goods,paper towel,11800.0
651,1100060,clothing,men's clothing,65000.0
652,1100061,food,beverage,8900.0
653,1100061,clothing,children & junior clothing,54600.0
654,1100062,clothing,children & junior clothing,60700.0
655,1100063,clothing,men's clothing,64000.0
656,1100063,clothing,children & junior clothing,58100.0
657,1100063,cosmetics,luxury cosmetics,526900.0
658,1100063,clothing,Other Apparel,95500.0
659,1100063,clothing,men's clothing,67300.0
660,1100063,clothing,big size clothing,28300.0
661,1100063,clothing,children & junior clothing,55100.0
662,1100063,cosmetics,luxury cosmetics,522400.0
663,1100063,food,cookies,5800.0
664,1100063,clothing,Other Apparel,101000.0
665,1100063,clothing,road shop brand,50400.0
666,1100063,clothing,children & junior clothing,55900.0
667,1100063,cosmetics,luxury cosmetics,523200.0
668,1100064,clothing,children & junior clothing,61800.0
669,1100065,clothing,children & junior clothing,56000.0
670,1100067,household goods,paper towel,14000.0
671,1100067,food,cookies,8900.0
672,1100067,clothing,women's clothing,94300.0
673,1100068,clothing,Other Apparel,93500.0
674,1100068,clothing,women's clothing,96600.0
675,1100069,household goods,paper towel,11500.0
676,1100069,clothing,men's clothing,65700.0
677,1100069,clothing,women's clothing,99400.0
678,1100069,clothing,infant clothes,31100.0
679,1100069,clothing,sports wear,17300.0
680,1100069,clothing,women's clothing,96300.0
681,1100070,clothing,men's clothing,58800.0
682,1100070,clothing,road shop brand,48300.0
683,1100070,clothing,sports wear,20800.0
684,1100071,food,beverage,5700.0
685,1100073,clothing,road shop brand,44500.0
686,1100074,household goods,paper towel,16600.0
687,1100075,clothing,infant clothes,30300.0
688,1100076,food,cookies,12600.0
689,1100076,food,beverage,6300.0
690,1100076,clothing,men's clothing,59800.0
691,1100076,clothing,underwear,18100.0
692,1100076,clothing,infant clothes,35000.0
693,1100077,clothing,Other Apparel,98100.0
