id	gender	gen_cd	Height	hair	time
135	m	0	167	0	0
136	m	0	168	1	0
137	f	1	165	1	1
138	m	0	188	0	0
139	f	1	170	1	1
140	f	1	155	1	0
141	m	0	181	1	1
142	m	0	185	1	1
143	f	1	171	1	1
144	m	0	167	0	0
145	f	1	150	1	0
146	m	0	162	0	0
147	m	0	164	0	0
148	f	1	157	1	1
149	m	0	188	0	0
150	f	1	172	1	0
151	f	1	160	0	1
152	f	1	164	0	1
153	m	0	175	0	0
154	f	1	161	1	1
155	m	0	179	1	0
156	f	1	161	1	1
157	f	1	155	0	1
158	m	0	182	1	0
159	m	0	161	1	0
160	f	1	165	0	0
161	f	1	154	1	1
162	m	0	185	0	0
163	m	0	186	0	0
164	m	0	180	1	0
165	m	0	185	0	0
166	f	1	167	0	0
167	m	0	183	0	0
168	m	0	164	0	0
169	m	0	184	1	0
170	m	0	173	1	0
171	f	1	155	1	1
172	f	1	172	0	0
173	f	1	153	1	1
174	f	1	152	1	1
175	f	1	165	1	1
176	m	0	183	0	0
177	m	0	162	0	0
178	m	0	180	0	0
179	f	1	159	1	1
180	f	1	156	1	1
181	f	1	155	1	1
182	m	0	174	1	1
183	m	0	178	0	0
184	m	0	161	1	1
185	m	0	163	0	0
186	m	0	188	0	0
187	f	1	166	1	1
188	f	1	161	0	1
189	m	0	164	0	0
190	f	1	150	1	1
191	m	0	188	0	0
192	m	0	169	1	1
193	m	0	185	0	0
194	m	0	175	0	0
195	m	0	180	0	0
196	f	1	169	1	1
197	m	0	176	0	0
198	m	0	168	0	0
199	f	1	162	1	1
200	m	0	172	0	1
201	m	0	161	0	1
202	f	1	156	0	1
203	m	0	168	0	1
204	m	0	163	1	0
205	m	0	169	0	0
206	f	1	161	0	0
207	m	0	178	1	1
208	f	1	162	1	1
209	f	1	153	1	1
210	m	0	186	0	0
211	m	0	184	0	0
212	f	1	167	1	0
213	f	1	169	0	0
214	f	1	174	1	1
215	f	1	172	0	1
216	f	1	154	1	0
217	f	1	156	1	0
218	m	0	171	0	1
219	m	0	184	0	1
220	m	0	184	1	0
221	m	0	180	0	0
222	f	1	154	1	1
223	f	1	151	1	0
224	m	0	165	1	0
225	m	0	177	0	0
226	m	0	161	0	1
227	f	1	164	1	1
228	f	1	160	1	1
229	f	1	156	1	1
230	m	0	187	0	0
231	f	1	169	1	1
232	f	1	151	1	1
233	f	1	152	1	0
234	f	1	166	0	0
235	f	1	158	1	1
236	m	0	171	1	0
237	f	1	173	1	0
238	m	0	188	1	0
239	f	1	162	0	1
240	m	0	177	1	0
241	m	0	161	1	0
242	m	0	185	0	0
243	f	1	165	1	0
244	m	0	164	0	0
245	m	0	176	0	0
246	m	0	187	0	0
247	m	0	176	0	1
248	f	1	166	1	0
249	m	0	175	0	0
250	f	1	157	1	1
251	m	0	160	1	0
252	f	1	167	1	0
253	m	0	160	0	1
254	f	1	157	1	0
255	f	1	163	1	1
256	f	1	171	0	1
257	f	1	170	1	1
258	m	0	185	0	0
259	m	0	174	0	0
260	f	1	170	1	0
261	m	0	189	1	1
262	f	1	163	1	1
263	f	1	172	1	1
264	m	0	177	0	0
265	m	0	174	0	0
266	f	1	166	1	1
267	m	0	160	0	0
268	m	0	169	0	1
269	m	0	163	0	0
270	m	0	175	0	0
271	m	0	163	0	0
272	m	0	180	1	0
273	f	1	151	1	1
274	f	1	160	1	0
275	f	1	164	1	0
276	f	1	165	1	1
277	m	0	182	0	0
278	f	1	155	1	0
279	m	0	169	0	0
280	f	1	165	1	1
281	f	1	174	1	1
282	f	1	168	1	0
283	m	0	171	0	1
284	m	0	173	0	0
285	f	1	157	1	1
286	f	1	159	0	1
287	m	0	179	0	0
288	m	0	169	0	0
289	m	0	177	0	1
290	f	1	174	1	0
291	m	0	165	1	0
292	f	1	174	0	0
293	f	1	157	0	0
294	f	1	173	0	1
295	m	0	175	1	0
296	m	0	161	0	0
297	f	1	160	1	0
298	f	1	166	1	1
299	m	0	162	0	0
300	m	0	170	0	0
301	f	1	171	1	0
302	m	0	189	0	0
303	f	1	163	1	0
304	m	0	160	0	1
305	f	1	154	0	1
306	m	0	168	0	0
307	f	1	151	1	0
308	m	0	174	0	0
309	f	1	156	1	1
310	f	1	160	1	1
311	m	0	186	0	0
312	f	1	154	1	1
313	m	0	170	0	0
314	f	1	159	1	1
315	f	1	167	1	0
316	f	1	162	1	1
317	m	0	161	0	0
318	f	1	159	1	1
319	f	1	157	0	1
320	f	1	169	1	1
321	m	0	188	0	1
322	f	1	173	0	0
323	m	0	173	1	0
324	m	0	178	0	0
325	f	1	167	1	1
326	m	0	167	0	0
327	m	0	161	1	0
328	m	0	167	0	0
329	m	0	169	0	0
330	m	0	178	1	1
331	f	1	152	1	1
332	f	1	161	0	0
333	m	0	164	0	0
334	f	1	156	1	1
335	f	1	155	0	1
336	f	1	154	1	1
337	f	1	154	1	1
338	m	0	187	0	0
339	f	1	160	1	0
340	f	1	163	1	0
341	f	1	156	1	1
342	f	1	153	0	0
343	m	0	185	0	1
344	f	1	174	1	1
345	m	0	166	0	1
346	f	1	163	1	1
347	f	1	150	1	1
348	m	0	180	0	0
349	m	0	171	0	1
350	m	0	188	0	1
351	f	1	172	1	1
352	f	1	161	1	1
353	f	1	154	1	1
354	m	0	178	0	0
355	m	0	166	1	1
356	m	0	183	0	0
357	m	0	165	0	0
358	m	0	186	0	0
359	f	1	153	1	1
360	m	0	164	0	0
361	f	1	154	1	1
362	f	1	173	0	1
363	f	1	172	1	1
364	m	0	164	1	0
365	m	0	173	1	0
366	f	1	151	1	1
367	m	0	181	1	0
368	f	1	156	1	1
369	m	0	176	0	0
370	m	0	166	0	0
371	f	1	156	0	1
372	f	1	170	1	0
373	f	1	150	1	1
374	f	1	165	1	1
375	m	0	180	0	0
376	f	1	153	1	1
377	f	1	156	0	1
378	m	0	176	1	0
379	f	1	156	1	0
380	f	1	171	1	1
381	f	1	174	1	1
382	m	0	178	0	0
383	m	0	184	0	0
384	f	1	150	1	1
385	m	0	186	0	0
386	f	1	157	1	1
387	f	1	164	1	1
388	f	1	174	1	1
389	f	1	162	1	1
390	m	0	161	0	0
391	f	1	163	1	1
392	f	1	159	1	0
393	f	1	169	1	1
394	f	1	174	0	1
395	f	1	167	1	1
396	f	1	167	1	1
397	f	1	167	1	1
398	m	0	183	0	0
399	f	1	165	1	0
400	m	0	187	1	0
401	m	0	186	1	1
402	m	0	160	1	0
403	f	1	162	1	0
404	m	0	169	0	0
405	m	0	175	0	0
406	m	0	183	0	0
407	f	1	170	1	1
408	f	1	153	1	0
409	m	0	170	0	1
410	f	1	154	1	1
411	f	1	156	1	1
412	f	1	155	1	1
